Id,LivingArea1stFlrSF,LivingArea2ndFlrSF,BathroomFullTotal,BathroomHalfTotal,Bedrooms,Fireplaces,GarageAreaSF,GarageCars,GarageYrBlt,LivingAreaTotalSF,KitchenAbvGr,LotAreaSF,LotFrontageFeet,MiscVal,MoSold,Porch3SeasonSF,PorchEnclosedSF,PorchOpenSF,PorchScreenSF,SalePrice,BsmtTotalSF,YearBuilt,YearRemodAdd,YrSold,BuildingAreaTotalSF,OtherRooms,MSZoning,LotShape,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,RoofStyle,Exterior1st,Exterior2nd,MasonryVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,HeatingQC,CentralAir,Electrical,KitchenQual,GarageType,GarageFinish,PavedDrive,SaleType,SaleCondition,MasonryVnr,WoodDeck,Pool,MSSubClass,OverallCond
1,856,854,3,1,3,0,548,2,2003.0,1710,1,8450,65.0,0,2,0,0,61,0,208500,856,2003,2003,2008,2566,5,RL,Reg,Inside,CollgCr,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Ex,Y,SBrkr,Gd,Attchd,RFn,Y,WD,Normal,Y,N,N,60,5
2,1262,0,2,1,3,1,460,2,1976.0,1262,1,9600,80.0,0,5,0,0,0,0,181500,1262,1976,1976,2007,2524,3,RL,Reg,FR2,Veenker,Feedr,1Fam,1Story,Gable,MetalSd,MetalSd,None,TA,TA,CBlock,Gd,TA,Gd,ALQ,Ex,Y,SBrkr,TA,Attchd,RFn,Y,WD,Normal,N,Y,N,20,8
3,920,866,3,1,3,1,608,2,2001.0,1786,1,11250,68.0,0,9,0,0,42,0,223500,920,2001,2002,2008,2706,3,RL,IR1,Inside,CollgCr,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Mn,GLQ,Ex,Y,SBrkr,Gd,Attchd,RFn,Y,WD,Normal,Y,N,N,60,5
4,961,756,2,0,3,1,642,3,1998.0,1717,1,9550,60.0,0,2,0,272,35,0,140000,756,1915,1970,2006,2473,4,RL,IR1,Corner,Crawfor,Norm,1Fam,2Story,Gable,Wd Sdng,Wd Shng,None,TA,TA,BrkTil,TA,Gd,No,ALQ,Gd,Y,SBrkr,Gd,Detchd,Unf,Y,WD,Abnorml,N,N,N,70,5
5,1145,1053,3,1,4,1,836,3,2000.0,2198,1,14260,84.0,0,12,0,0,84,0,250000,1145,2000,2000,2008,3343,5,RL,IR1,FR2,NoRidge,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,Ex,Y,SBrkr,Gd,Attchd,RFn,Y,WD,Normal,Y,Y,N,60,5
6,796,566,2,1,1,0,480,2,1993.0,1362,1,14115,85.0,700,10,320,0,30,0,143000,796,1993,1995,2009,2158,4,RL,IR1,Inside,Mitchel,Norm,1Fam,1.5Fin,Gable,VinylSd,VinylSd,None,TA,TA,Wood,Gd,TA,No,GLQ,Ex,Y,SBrkr,TA,Attchd,Unf,Y,WD,Normal,N,Y,N,50,5
7,1694,0,3,0,3,1,636,2,2004.0,1694,1,10084,75.0,0,8,0,0,57,0,307000,1686,2004,2005,2007,3380,4,RL,Reg,Inside,Somerst,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Av,GLQ,Ex,Y,SBrkr,Gd,Attchd,RFn,Y,WD,Normal,Y,Y,N,20,5
8,1107,983,3,1,3,2,484,2,1973.0,2090,1,10382,70.0,350,11,0,228,204,0,200000,1107,1973,1973,2009,3197,4,RL,IR1,Corner,NWAmes,PosN,1Fam,2Story,Gable,HdBoard,HdBoard,Stone,TA,TA,CBlock,Gd,TA,Mn,ALQ,Ex,Y,SBrkr,TA,Attchd,RFn,Y,WD,Normal,Y,Y,N,60,6
9,1022,752,2,0,2,2,468,2,1931.0,1774,2,6120,51.0,0,4,0,205,0,0,129900,952,1931,1950,2008,2726,6,RM,Reg,Inside,OldTown,Artery,1Fam,1.5Fin,Gable,BrkFace,Wd Shng,None,TA,TA,BrkTil,TA,TA,No,Unf,Gd,Y,FuseF,TA,Detchd,Unf,Y,WD,Abnorml,N,Y,N,50,5
10,1077,0,2,0,2,2,205,1,1939.0,1077,2,7420,50.0,0,1,0,0,4,0,118000,991,1939,1950,2008,2068,3,RL,Reg,Corner,BrkSide,Artery,2fmCon,1.5Unf,Gable,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,GLQ,Ex,Y,SBrkr,TA,Attchd,RFn,Y,WD,Normal,N,N,N,190,6
